Acidobacteria aciNOG
Acidobacteriia acidNOG
Aconoidasida acoNOG
Actinobacteria actNOG
Agaricales agaNOG
Agaricomycetes agarNOG
Apicomplexa apiNOG
Proteobacteria_alpha aproNOG
Aquificae aquNOG
Archaea arNOG
Archaeoglobi arcNOG
Arthropoda artNOG
Arthrodermataceae arthNOG
Ascomycota ascNOG
Aves aveNOG
Bacilli bacNOG
Bacteria bactNOG
Bacteroidia bacteNOG
Basidiomycota basNOG
Bacteroidetes bctoNOG
Bilateria biNOG
Proteobacteria_beta bproNOG
Brassicales braNOG
Carnivora carNOG
Chaetomiaceae chaNOG
Chlorobi chlNOG
Chlamydiae chlaNOG
Chloroflexi chloNOG
Chloroflexi chlorNOG
Chlorophyta chloroNOG
Chordata chorNOG
Chromadorea chrNOG
Clostridia cloNOG
Coccidia cocNOG
Crenarchaeota creNOG
Cryptosporidiidae cryNOG
Cyanobacteria cyaNOG
Cytophagia cytNOG
Debaryomycetaceae debNOG
Deferribacteres defNOG
Dehalococcoidetes dehNOG
Deinococcusthermus deiNOG
delta/epsilon delNOG
Diptera dipNOG
Dothideomycetes dotNOG
Proteobacteria_delta dproNOG
Drosophilidae droNOG
Proteobacteria_epsilon eproNOG
Erysipelotrichi eryNOG
Eukaryotes euNOG
Euryarchaeota eurNOG
Eurotiomycetes euroNOG
Eurotiales eurotNOG
Fishes fiNOG
Firmicutes firmNOG
Flavobacteriia flaNOG
Fungi fuNOG
Fusobacteria fusoNOG
Proteobacteria_gamma gproNOG
Haemosporida haeNOG
Halobacteria halNOG
Hominidae homNOG
Hymenoptera hymNOG
Hypocreales hypNOG
Insects inNOG
Kinetoplastida kinNOG
Lepidoptera lepNOG
Liliopsida lilNOG
Mammals maNOG
Magnaporthales magNOG
Animals meNOG
Methanobacteria metNOG
Methanococci methNOG
Methanomicrobia methaNOG
Nectriaceae necNOG
Negativicutes negNOG
Nematodes nemNOG
Onygenales onyNOG
Opisthokonts opiNOG
Peronosporales perNOG
Planctomycetes plaNOG
Pleosporales pleNOG
Poales poaNOG
Primates prNOG
Proteobacteria proNOG
Rhabditida rhaNOG
Rodents roNOG
Saccharomycetaceae sacNOG
Saccharomycetes saccNOG
Sordariales sorNOG
Sordariomycetes sordNOG
Sphingobacteriia sphNOG
Spirochaetes spiNOG
Supraprimates spriNOG
Streptophyta strNOG
Synergistetes synNOG
Tenericutes tenNOG
Thaumarchaeota thaNOG
Thermoplasmata theNOG
Thermotogae therNOG
Thermococci thermNOG
Tremellales treNOG
Vertebrates veNOG
Verrucomicrobia verNOG
Verrucomicrobiae verrNOG
Viridiplantae virNOG
